google,twitter,linkedin,gmail,slideshare,usb,last-fm,wikipedia,wordpress,flickr,yahoo-mail,amazon,facebook,stackoverflow,exe,youtube,ebay,google-docs,blogspot,google-reader,company,REMOTE_ADDR,HTTP_USER_AGENT
yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,TCS,122.169.174.14,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,ThoughtWorks,122.169.66.43,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-US) AppleWebKit/532.9 (KHTML, like Gecko) Chrome/5.0.307.7 Safari/532.9"
yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,Origin,122.167.183.91,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1059 Safari/532.5"
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Navitaire,66.114.104.164,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1045 Safari/532.5"
yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,ozon,194.186.179.140,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729) chromeframe/4.0
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,The Advisory Board Company,68.48.162.197,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1064 Safari/532.5"
yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,,144.36.220.66,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.1)
yes,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,,199.63.142.252,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3
yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,Zee News Ltd.,124.247.199.2,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727)
yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,Satyam Computer Services Limited,119.151.34.12,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.2; MS-RTC LM 8; MSN OptimizedIE8;ENIN)
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,75.193.183.13,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.1)
yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,suzlon energy,123.236.183.142,Opera/9.80 (Windows NT 5.1; U; en) Presto/2.5.24 Version/10.53
yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,Pfizer,155.94.62.221,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1064 Safari/532.5"
